RA,ANO,Fase,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Defas,Atingiu_PV,EM_RISCO
RA-616,2023,2,5.612,0.0,6.6,5.02,6.8,5.833333333,6.783333333,5.0,-1,,1
RA-437,2023,2,6.947366667,8.0,8.4,7.52,4.7,7.291666667,7.78,5.0,-2,,0
RA-1125,2023,2,6.655366667,4.7,7.9,7.52,4.0,6.666666667,6.95,10.0,0,,0
RA-619,2023,2,7.891366667,9.0,7.1,3.77,9.0,7.708333333,8.116666667,10.0,0,,0
RA-620,2023,2,7.043666667,6.8,8.4,7.52,6.2,6.875,7.503333333,5.0,-1,,0
RA-1127,2023,2,8.3167,8.5,9.9,5.02,6.9,8.125,9.01,10.0,0,,0
RA-1128,2023,2,6.404533333,9.5,7.3,5.02,3.5,7.916666667,7.503333333,5.0,-1,,0
RA-1129,2023,2,7.309333333,0.0,9.2,6.27,7.8,7.916666667,7.503333333,10.0,0,,0
RA-1130,2023,2,8.0037,8.5,8.4,7.52,7.3,7.708333333,7.503333333,10.0,0,,0
RA-1131,2023,2,8.316133333,7.9,9.9,5.02,9.1,8.75,9.286666667,5.0,-1,,0
RA-1132,2023,2,6.829533333,10.0,6.3,6.27,5.8,7.916666667,7.503333333,5.0,-1,,0
RA-1133,2023,2,8.600033333,9.5,10.0,6.27,6.5,8.541666667,9.343333333,10.0,0,,0
RA-1134,2023,2,7.769866667,8.0,9.7,3.76,6.8,7.916666667,7.56,10.0,0,,0
RA-618,2023,2,6.4745,0.0,9.2,5.02,6.2,8.125,7.95,5.0,-2,,0
RA-631,2023,2,5.954666667,0.0,6.4,6.27,7.0,7.916666667,6.78,5.0,-1,,1
RA-646,2023,2,8.3547,10.0,8.9,7.52,8.4,8.958333333,8.783333333,5.0,-1,,0
RA-451,2023,2,8.386033333,8.5,9.5,4.39,8.9,9.375,9.896666667,5.0,-2,,0
RA-1135,2023,2,7.453833333,0.0,9.4,7.52,7.2,8.125,7.896666667,10.0,0,,0
RA-649,2023,2,7.579533333,9.0,9.3,3.77,6.5,8.75,8.836666667,5.0,-1,,0
RA-651,2023,2,7.332,0.0,8.2,3.77,9.3,8.75,7.95,10.0,0,,0
RA-1136,2023,2,6.7351,6.8,8.1,2.52,6.6,8.333333333,7.723333333,5.0,-1,,0
RA-653,2023,2,7.385666667,0.0,9.8,6.27,7.9,9.166666667,9.06,5.0,-1,,0
RA-456,2023,2,7.518,0.0,8.3,4.39,9.9,9.583333333,9.953333333,5.0,-1,,0
RA-655,2023,2,8.3198,7.4,9.9,7.52,8.3,9.166666667,8.896666667,5.0,-1,,0
RA-656,2023,2,6.780833333,0.0,8.9,7.52,7.3,8.541666667,7.173333333,5.0,-1,,0
RA-657,2023,2,8.3532,8.5,10.0,7.52,8.2,8.75,8.73,5.0,-1,,0
RA-644,2023,2,6.897033333,10.0,5.6,7.52,5.9,8.541666667,7.503333333,5.0,-1,,0
RA-461,2023,2,7.2379,7.3,7.9,3.77,7.4,8.541666667,8.616666667,5.0,-1,,0
RA-632,2023,2,7.8768,4.7,9.1,5.64,7.4,8.333333333,8.563333333,10.0,0,,0
RA-633,2023,2,6.6552,1.7,8.1,6.27,7.2,8.541666667,7.286666667,5.0,-1,,0
RA-1137,2023,2,8.743366667,9.5,9.8,6.27,6.5,9.375,9.843333333,10.0,0,,0
RA-1138,2023,2,8.3472,9.0,9.2,6.27,9.3,9.166666667,8.566666667,5.0,-1,,0
RA-1139,2023,2,7.6647,8.5,9.1,5.64,5.3,8.125,7.79,10.0,0,,0
RA-1140,2023,2,7.703533333,4.7,8.7,7.52,7.3,7.708333333,7.62,10.0,0,,0
RA-445,2023,2,7.9087,8.0,8.8,6.89,8.4,8.541666667,8.176666667,5.0,-1,,0
RA-1141,2023,2,7.2757,9.0,8.8,7.52,5.9,7.708333333,7.113333333,5.0,-1,,0
RA-639,2023,2,7.5853,7.4,8.1,6.27,6.3,8.125,7.62,10.0,0,,0
RA-1142,2023,2,9.175033333,9.0,10.0,7.52,10.0,8.541666667,8.343333333,10.0,0,,0
RA-642,2023,2,8.416866667,9.5,9.2,6.27,6.5,8.75,9.173333333,10.0,0,,0
RA-658,2023,2,8.438533333,9.5,9.5,7.52,6.1,7.916666667,9.173333333,10.0,0,,0
RA-588,2023,2,8.3527,8.0,9.6,2.52,7.8,8.958333333,9.673333333,10.0,0,,0
RA-662,2023,2,6.733566667,6.8,7.6,6.27,6.7,7.291666667,6.72,5.0,-1,,0
RA-403,2023,2,7.716366667,8.5,8.8,6.27,7.8,7.291666667,8.45,5.0,-1,,0
RA-591,2023,2,7.1472,9.0,8.5,6.27,6.9,5.833333333,7.333333333,5.0,-1,,0
RA-592,2023,2,7.935466667,6.2,9.2,3.77,7.6,7.916666667,8.95,10.0,0,,0
RA-602,2023,2,8.5592,10.0,9.6,7.52,8.1,8.75,9.51,5.0,-1,,0
RA-666,2023,2,8.720366667,9.5,9.1,7.52,7.1,8.541666667,9.62,10.0,0,,0
RA-667,2023,2,6.774866667,9.0,6.9,6.89,5.2,7.083333333,7.836666667,5.0,-1,,0
RA-422,2023,2,5.57,0.0,7.8,7.52,4.4,6.666666667,6.106666667,5.0,-1,,1
RA-595,2023,2,5.078666667,0.0,7.0,7.52,3.3,6.666666667,5.55,5.0,-1,,1
RA-423,2023,2,6.607533333,8.0,8.7,6.89,3.4,7.083333333,7.45,5.0,-1,,0
RA-669,2023,2,7.345033333,8.5,7.8,7.52,5.0,7.708333333,7.06,10.0,0,,0
RA-670,2023,2,8.6067,9.5,8.7,7.52,7.0,8.958333333,9.343333333,10.0,0,,0
RA-609,2023,2,6.463033333,9.5,6.4,7.52,5.3,6.875,6.216666667,5.0,-1,,0
RA-326,2023,3,8.65075,9.6,9.4,3.14,8.2,9.0625,9.76,10.0,0,,0
RA-179,2023,3,8.437641667,8.8,9.4,7.52,6.4,8.59375,8.9225,10.0,0,,0
RA-1143,2023,3,6.445933333,8.8,7.0,6.26,5.3,7.5,6.2075,5.0,-2,,0
RA-330,2023,3,6.084875,9.6,7.2,6.89,3.3,6.71875,5.8275,5.0,-2,,0
RA-332,2023,3,8.002591667,9.2,8.4,8.76,6.8,8.28125,9.175,5.0,-1,,0
RA-199,2023,3,7.892341667,9.2,7.6,7.51,8.5,7.96875,8.505,5.0,-1,,0
RA-1144,2023,3,7.410625,0.0,9.4,5.02,8.0,8.28125,8.0025,10.0,0,,0
RA-352,2023,3,7.840341667,9.2,8.1,6.26,7.2,7.96875,7.17,10.0,0,,0
RA-1145,2023,3,7.484375,0.0,9.5,4.39,7.8,8.59375,8.63,10.0,1,,1
RA-1146,2023,3,6.689583333,9.6,8.8,6.26,3.7,7.1875,6.965,5.0,-1,,0
RA-331,2023,3,7.039791667,9.6,8.6,2.52,5.2,7.03125,6.7975,10.0,0,,0
RA-227,2023,3,7.722125,9.6,7.5,5.63,6.9,8.28125,7.4625,10.0,0,,0
RA-247,2023,3,7.221958333,0.0,8.5,7.52,7.2,8.28125,7.5425,10.0,0,,0
RA-343,2023,3,6.779591667,9.2,7.2,6.26,5.7,7.65625,6.9225,5.0,-2,,0
RA-1147,2023,3,7.072983333,8.3,8.3,6.26,6.7,7.1875,7.0075,5.0,-1,,0
RA-345,2023,3,6.534766667,8.8,6.8,6.26,4.6,8.125,7.1725,5.0,-1,,0
RA-336,2023,3,5.887708333,0.0,7.5,6.89,5.1,7.34375,7.255,5.0,-1,,1
RA-346,2023,3,7.305541667,0.0,9.4,8.14,6.2,7.96875,7.84,10.0,1,,1
RA-1148,2023,3,7.227866667,7.9,8.6,3.77,5.7,7.5,7.2125,10.0,1,,1
RA-1149,2023,3,7.410108333,8.3,9.8,2.52,7.2,7.96875,8.1725,5.0,-1,,0
RA-1150,2023,3,7.076008333,9.2,9.8,2.52,6.7,7.96875,7.835,2.5,-3,,0
RA-1151,2023,3,7.829958333,7.5,9.5,2.52,8.3,7.65625,7.545,10.0,0,,0
RA-356,2023,3,6.452008333,9.2,8.5,2.52,3.4,6.09375,6.5025,10.0,0,,0
RA-1152,2023,3,6.544916667,0.0,9.4,5.0,6.8,7.8125,7.585,5.0,-1,,0
RA-221,2023,3,6.959916667,9.6,9.0,5.0,5.0,7.1875,7.38,5.0,-2,,0
RA-359,2023,3,7.627125,9.6,9.2,2.52,5.8,7.65625,8.255,10.0,0,,0
RA-360,2023,3,5.790875,0.0,7.3,2.52,4.3,7.34375,7.4225,10.0,0,,1
RA-338,2023,3,8.287441667,8.3,9.1,7.52,6.7,8.59375,8.38,10.0,0,,0
RA-339,2023,3,7.377583333,0.0,8.9,7.52,7.1,7.8125,8.255,10.0,0,,0
RA-353,2023,3,8.309016667,8.8,9.9,2.52,8.4,7.8125,8.67,10.0,0,,0
RA-1153,2023,3,7.968658333,7.9,10.0,7.52,7.2,7.65625,8.63,5.0,-1,,0
RA-183,2023,3,7.586241667,7.9,9.7,2.52,7.7,7.96875,8.795,5.0,-1,,0
RA-342,2023,3,7.539875,7.5,8.6,7.52,6.6,7.96875,8.505,5.0,-2,,0
RA-187,2023,3,7.809875,7.5,9.9,2.52,6.9,7.96875,8.255,10.0,0,,0
RA-190,2023,3,6.934158333,7.9,9.5,2.52,5.7,7.65625,7.9575,5.0,-1,,0
RA-347,2023,3,7.61835,6.7,9.5,2.52,7.3,7.8125,7.7925,10.0,0,,0
RA-234,2023,3,6.248741667,6.7,8.0,2.52,5.6,4.84375,5.595,10.0,0,,0
RA-1154,2023,3,7.701125,9.6,9.3,5.63,5.1,7.65625,7.67,10.0,0,,0
RA-249,2023,3,5.444625,0.0,8.2,5.0,4.9,5.15625,6.545,5.0,-2,,1
RA-380,2023,3,4.912375,0.0,6.4,2.52,4.5,6.71875,6.5425,5.0,-1,,1
RA-250,2023,3,7.598208333,0.0,9.3,5.63,8.3,7.96875,8.625,10.0,0,,0
RA-367,2023,3,7.38685,8.8,8.7,2.52,5.9,7.8125,7.7925,10.0,0,,0
RA-1155,2023,3,7.821633333,9.2,9.2,5.63,8.0,7.5,8.2925,5.0,-1,,0
RA-1156,2023,3,7.340775,8.3,9.2,2.52,5.3,7.96875,7.7925,10.0,0,,0
RA-368,2023,3,5.796458333,0.0,7.7,2.52,6.7,7.03125,7.34,5.0,-1,,1
RA-387,2023,3,4.794333333,0.0,6.8,2.52,3.0,6.875,7.0075,5.0,-1,,1
RA-388,2023,3,5.630833333,0.0,7.4,5.63,4.2,6.875,7.835,5.0,-2,,1
RA-374,2023,3,7.533891667,8.8,8.3,5.63,5.4,7.65625,7.9175,10.0,0,,0
RA-377,2023,3,7.205041667,9.6,7.6,5.0,4.8,7.34375,7.6275,10.0,0,,0
RA-223,2023,3,5.089833333,0.0,4.5,7.52,3.8,7.5,7.1725,5.0,-1,,1
RA-236,2023,3,7.337116667,10.0,7.5,7.52,4.5,7.1875,7.2975,10.0,0,,0
RA-362,2023,3,6.392625,0.0,7.5,7.52,5.1,7.03125,7.0875,10.0,0,,0
RA-381,2023,3,5.758041667,0.0,8.4,6.89,3.9,7.34375,6.84,5.0,-1,,1
RA-364,2023,3,7.734891667,8.8,9.0,6.89,5.8,7.03125,7.505,10.0,0,,0
RA-382,2023,3,6.223833333,0.0,9.4,6.26,5.2,7.5,7.1725,5.0,-2,,0
RA-383,2023,3,7.5408,9.2,8.8,3.14,6.5,7.5,7.5,10.0,0,,0
RA-384,2023,3,6.757958333,0.0,9.1,2.52,7.3,7.65625,7.335,10.0,0,,0
RA-1157,2023,3,7.086633333,9.2,8.8,6.26,5.7,7.5,7.0025,5.0,-1,,0
RA-386,2023,3,5.758425,9.2,7.0,2.52,3.3,7.03125,6.6325,5.0,-1,,1
RA-260,2023,3,8.080008333,9.2,9.9,7.52,6.1,7.34375,7.4175,10.0,0,,0
RA-390,2023,3,6.905741667,7.9,8.8,2.52,4.8,7.34375,7.005,10.0,0,,0
RA-1158,2023,3,6.306666667,7.5,8.6,2.52,4.3,7.5,7.34,5.0,-1,,0
RA-391,2023,3,6.5107,7.9,7.5,2.52,3.5,7.5,7.585,10.0,0,,0
RA-1159,2023,3,5.913883333,5.8,6.6,2.52,3.1,7.1875,7.1325,10.0,0,,1
RA-392,2023,3,6.567208333,9.6,9.5,2.52,4.6,6.09375,7.17,5.0,-2,,0
RA-1160,2023,3,6.636166667,9.6,8.7,2.52,2.7,6.875,7.2575,10.0,0,,0
RA-1161,2023,3,7.317791667,6.3,8.1,2.52,6.3,8.28125,8.63,10.0,0,,0
RA-395,2023,3,7.469175,9.2,8.6,2.52,6.0,7.96875,7.9175,10.0,0,,0
RA-450,2023,3,6.819625,9.6,8.4,2.52,5.4,7.65625,7.9175,5.0,-1,,0
RA-463,2023,3,6.382383333,9.2,5.4,2.52,4.0,7.8125,7.795,10.0,0,,0
RA-298,2023,3,6.824333333,9.6,8.6,2.52,5.5,7.5,7.7525,5.0,-1,,0
RA-464,2023,3,6.081675,9.2,7.7,2.52,3.0,7.96875,7.38,5.0,-1,,0
RA-465,2023,3,8.012875,7.5,9.4,2.52,8.5,7.96875,8.17,10.0,0,,0
RA-442,2023,3,6.814166667,0.0,7.6,7.52,5.8,7.5,8.1275,10.0,0,,0
RA-300,2023,3,5.616691667,5.0,7.5,2.52,4.5,6.40625,6.5875,5.0,-2,,1
RA-467,2023,3,6.552916667,6.3,9.2,3.14,5.2,7.1875,7.5425,5.0,-1,,0
RA-468,2023,3,5.911108333,8.3,6.0,6.27,3.4,7.34375,6.715,5.0,-1,,1
RA-1162,2023,3,7.44215,8.3,8.5,3.77,6.0,7.8125,7.7525,10.0,0,,0
RA-470,2023,3,6.993766667,8.8,9.2,5.0,4.9,7.5,7.71,5.0,-1,,0
RA-474,2023,3,5.283583333,0.0,7.8,5.0,3.3,7.1875,6.7575,5.0,-1,,1
RA-476,2023,3,6.492408333,7.9,7.0,2.52,4.1,7.34375,7.505,10.0,0,,0
RA-478,2023,3,6.443616667,6.7,7.3,2.52,4.4,7.1875,7.2975,10.0,0,,0
RA-410,2023,3,6.140808333,8.8,5.8,7.52,4.9,6.71875,6.0425,5.0,-1,,0
RA-411,2023,3,7.779983333,6.2,9.0,7.52,6.6,7.8125,7.5425,10.0,0,,0
RA-412,2023,3,7.373891667,8.8,8.9,2.52,6.2,7.03125,7.585,10.0,0,,0
RA-400,2023,3,6.529425,9.2,9.0,2.52,4.1,7.65625,7.375,5.0,-1,,0
RA-414,2023,3,7.25025,0.0,9.5,7.52,6.5,7.8125,7.585,10.0,0,,0
RA-415,2023,3,7.18805,7.1,8.2,7.52,3.7,7.8125,7.8325,10.0,0,,0
RA-1163,2023,3,7.749391667,8.8,9.3,7.52,7.2,7.65625,7.75,5.0,-1,,0
RA-273,2023,3,6.337116667,7.9,7.4,2.52,5.0,7.8125,7.6275,5.0,-1,,0
RA-471,2023,3,6.855541667,0.0,9.0,6.27,5.0,7.96875,8.125,10.0,0,,0
RA-416,2023,3,8.144425,9.2,9.8,2.52,7.6,8.28125,8.3375,10.0,0,,0
RA-417,2023,3,8.257658333,5.4,9.7,7.52,7.8,8.28125,8.2125,10.0,0,,0
RA-305,2023,3,6.394291667,0.0,8.9,7.52,5.2,7.65625,7.75,5.0,-2,,0
RA-418,2023,3,8.1686,8.8,10.0,2.52,8.1,8.125,8.045,10.0,1,,1
RA-419,2023,3,7.7261,6.7,9.5,2.52,7.6,8.125,7.875,10.0,0,,0
RA-421,2023,3,8.030716667,9.2,9.9,2.52,7.3,7.8125,8.17,10.0,0,,0
RA-407,2023,3,7.665083333,9.6,8.6,7.52,7.3,7.8125,7.5,5.0,-1,,0
RA-425,2023,3,8.10555,9.2,9.9,2.52,7.5,7.8125,8.3775,10.0,0,,0
RA-426,2023,3,6.329158333,5.4,7.6,5.0,5.0,7.65625,7.5425,5.0,-1,,0
RA-430,2023,3,7.146716667,9.2,9.3,2.52,6.4,7.8125,7.75,5.0,-1,,0
RA-1164,2023,3,6.910091667,9.2,7.5,2.52,4.8,7.65625,7.545,10.0,0,,0
RA-1165,2023,3,7.880716667,9.2,9.1,5.0,7.3,7.1875,7.2925,10.0,0,,0
RA-432,2023,3,6.850183333,8.8,9.0,2.52,5.2,7.8125,8.0425,5.0,-2,,0
RA-303,2023,3,5.914291667,0.0,7.3,7.52,5.1,7.65625,7.05,5.0,-2,,1
RA-420,2023,3,7.356358333,8.3,9.3,2.52,5.3,7.65625,7.96,10.0,0,,0
RA-1166,2023,3,7.307858333,8.3,9.6,7.52,4.8,7.65625,7.9175,5.0,-2,,0
RA-1167,2023,3,6.021891667,8.8,7.6,2.52,3.8,7.65625,7.9625,2.5,-3,,0
RA-424,2023,3,7.72685,8.8,9.9,2.52,6.4,7.8125,7.7925,10.0,0,,0
RA-398,2023,3,7.153766667,6.7,8.1,2.52,6.5,7.5,7.7925,10.0,1,,1
RA-399,2023,3,7.000033333,7.9,8.2,2.52,4.7,7.5,8.165,10.0,0,,0
RA-428,2023,3,7.821816667,8.3,9.5,2.52,7.2,7.8125,8.0425,10.0,0,,0
RA-315,2023,3,5.977708333,0.0,6.8,5.0,6.3,7.96875,7.8375,5.0,-1,,1
RA-402,2023,3,6.632716667,9.2,7.3,2.52,4.2,7.8125,6.88,10.0,0,,0
RA-1168,2023,3,5.886625,0.0,8.8,2.52,3.5,7.65625,7.045,10.0,0,,1
RA-613,2023,3,6.864508333,9.2,9.4,5.0,4.8,6.71875,7.2125,5.0,-1,,0
RA-304,2023,3,6.241583333,0.0,8.8,5.0,5.7,7.8125,7.835,5.0,-2,,0
RA-457,2023,3,8.256833333,7.5,8.6,7.52,8.1,8.125,8.045,10.0,0,,0
RA-307,2023,3,6.047333333,0.0,6.5,7.52,6.3,7.5,7.46,5.0,-2,,0
RA-283,2023,3,7.549025,8.3,9.5,7.52,6.8,7.03125,7.5025,5.0,-2,,0
RA-459,2023,3,8.240016667,6.7,9.3,7.52,8.3,7.1875,7.88,10.0,0,,0
RA-440,2023,3,6.989208333,0.0,8.2,7.52,6.2,7.96875,7.835,10.0,0,,0
RA-443,2023,3,6.895508333,7.1,7.5,2.52,7.6,7.96875,8.125,5.0,-1,,0
RA-454,2023,3,4.603416667,0.0,7.5,5.0,2.6,4.6875,5.54,5.0,-2,,1
RA-444,2023,3,5.958791667,0.0,7.9,5.0,4.7,6.40625,6.4575,10.0,1,,1
RA-170,2023,3,7.062433333,8.8,8.9,2.52,7.2,6.875,7.6725,5.0,-2,,0
RA-1169,2023,3,7.213625,7.5,9.5,5.0,6.3,7.03125,8.0025,5.0,-1,,0
RA-458,2023,3,6.312083333,9.6,6.9,7.52,3.8,7.1875,6.2475,5.0,-1,,0
RA-1170,2023,3,6.874683333,8.8,7.7,7.52,5.9,7.1875,6.5775,5.0,-1,,0
RA-1171,2023,3,7.856033333,7.9,8.4,5.0,8.7,8.75,8.88,5.0,-1,,0
RA-449,2023,3,7.396508333,7.1,7.2,7.52,7.0,7.34375,6.8425,10.0,0,,0
RA-462,2023,3,6.2267,10.0,8.1,5.0,2.7,7.5,6.5825,5.0,-2,,0
RA-176,2023,4,8.316833333,9.6,9.5,2.52,8.0,8.125,9.0025,10.0,0,,0
RA-178,2023,4,7.406658333,7.9,8.7,2.52,5.9,7.65625,8.42,10.0,0,,0
RA-193,2023,4,7.718566667,8.3,9.4,2.52,6.5,8.125,8.17,10.0,1,,1
RA-1172,2023,4,7.030108333,8.3,7.8,2.52,6.7,8.59375,8.46,5.0,-2,,0
RA-180,2023,4,8.283216667,9.2,9.4,2.52,8.0,8.4375,8.92,10.0,1,,1
RA-181,2023,4,7.671208333,9.6,8.3,2.52,6.8,7.96875,8.2525,10.0,0,,0
RA-195,2023,4,7.60205,7.1,9.2,2.52,6.0,8.4375,8.79,10.0,0,,0
RA-196,2023,4,7.560991667,7.9,9.0,2.52,6.2,8.28125,8.2125,10.0,1,,1
RA-211,2023,4,8.024791667,9.6,9.4,2.52,7.1,7.65625,8.71,10.0,0,,0
RA-197,2023,4,7.967608333,8.3,9.8,2.52,7.2,7.96875,8.46,10.0,1,,1
RA-229,2023,4,8.207591667,9.2,9.8,2.52,7.8,8.28125,8.42,10.0,1,,1
RA-186,2023,4,7.817541667,7.5,9.7,2.52,6.9,7.96875,8.46,10.0,0,,0
RA-189,2023,4,7.727325,7.9,9.4,2.52,6.5,8.28125,8.3775,10.0,0,,0
RA-191,2023,4,7.263666667,0.0,9.7,2.52,7.8,8.125,8.4625,10.0,0,,0
RA-1173,2023,4,7.67285,8.8,9.7,2.52,6.0,7.8125,8.1225,10.0,0,,0
RA-217,2023,4,6.96965,8.3,8.6,2.52,5.6,8.4375,8.5025,5.0,-1,,0
RA-1174,2023,4,7.333591667,9.2,8.7,2.52,6.8,8.90625,8.3375,5.0,-1,,0
RA-192,2023,4,6.616016667,8.8,6.2,5.0,6.5,7.1875,7.3775,5.0,-2,,0
RA-184,2023,4,8.430241667,7.9,9.5,7.52,7.1,8.59375,8.5025,10.0,1,,1
RA-200,2023,4,5.661166667,9.6,4.5,2.52,4.3,7.5,7.17,5.0,-2,,1
RA-1175,2023,4,5.939858333,8.3,5.3,2.52,6.3,7.65625,7.6275,2.5,-3,,1
RA-204,2023,4,7.557558333,8.8,7.9,2.52,7.1,8.28125,8.045,10.0,0,,0
RA-1176,2023,4,8.881483333,8.3,9.3,7.52,8.2,9.6875,9.17,10.0,1,,1
RA-1177,2023,4,8.345491667,10.0,9.9,2.52,7.2,8.90625,8.88,10.0,0,,0
RA-215,2023,4,7.166475,8.8,6.6,2.52,6.9,7.96875,7.7125,10.0,0,,0
RA-1178,2023,4,7.066475,8.8,9.3,2.52,5.7,7.96875,8.2125,5.0,-2,,0
RA-149,2023,4,5.622266667,8.8,4.2,2.52,4.7,7.5,7.2925,5.0,-2,,1
RA-1179,2023,4,6.631333333,9.6,8.1,4.38,5.0,6.875,7.17,5.0,-1,,0
RA-218,2023,4,5.811541667,0.0,6.7,2.52,6.7,7.96875,7.88,5.0,-1,,1
RA-220,2023,4,7.102016667,8.8,7.6,2.52,6.1,7.1875,7.5475,10.0,0,,0
RA-202,2023,4,6.791641667,8.8,7.9,2.52,5.9,7.96875,8.005,5.0,-1,,0
RA-1180,2023,4,7.067983333,8.3,9.5,5.0,5.4,7.1875,7.7125,5.0,-1,,0
RA-1181,2023,4,6.971266667,8.8,8.3,2.52,4.8,7.5,7.3375,10.0,0,,0
RA-1182,2023,4,5.709808333,7.5,6.3,2.52,4.2,6.71875,7.2125,5.0,-2,,1
RA-205,2023,4,6.857625,9.6,7.6,4.38,6.6,7.03125,7.09,5.0,-1,,0
RA-1183,2023,4,6.269541667,7.5,8.7,2.52,5.3,6.09375,6.7575,5.0,-1,,0
RA-237,2023,4,7.436566667,8.3,9.5,2.52,6.7,8.125,8.96,5.0,-1,,0
RA-147,2023,4,5.5425,0.0,7.0,5.63,4.5,6.875,7.46,5.0,-1,,1
RA-240,2023,4,6.337966667,7.1,6.7,2.52,4.8,6.875,6.9175,10.0,0,,0
RA-1184,2023,4,7.381566667,8.3,8.3,5.0,7.3,8.125,8.045,5.0,-2,,0
RA-241,2023,4,7.016,0.0,9.9,2.52,7.5,8.75,9.545,5.0,-1,,0
RA-242,2023,4,8.221841667,7.1,9.7,2.52,7.9,8.59375,9.3775,10.0,0,,0
RA-138,2023,4,6.784075,10.0,7.9,6.26,4.3,7.34375,7.4175,5.0,-2,,0
RA-244,2023,4,7.044333333,0.0,8.8,2.52,7.3,8.125,8.8325,10.0,1,,1
RA-245,2023,4,7.171166667,0.0,10.0,2.52,8.1,8.75,9.5875,5.0,-1,,0
RA-246,2023,4,8.256766667,8.8,9.9,4.39,6.8,8.125,8.9175,10.0,0,,0
RA-141,2023,4,6.719791667,9.6,8.4,5.63,4.5,7.03125,7.0425,5.0,-1,,0
RA-239,2023,4,6.411333333,0.0,8.4,5.0,7.0,8.125,7.6275,5.0,-2,,0
RA-1185,2023,4,8.02675,7.5,9.1,5.0,7.5,7.8125,8.3775,10.0,1,,1
RA-262,2023,4,4.406458333,0.0,3.7,5.0,3.8,7.03125,6.05,5.0,-2,,1
RA-1186,2023,4,7.281433333,8.8,9.8,6.89,5.5,6.875,7.3825,5.0,-2,,0
RA-397,2023,4,6.207083333,7.5,7.9,2.52,4.6,7.1875,7.465,5.0,-1,,0
RA-1187,2023,4,6.644475,8.8,6.9,2.52,5.3,7.34375,6.715,10.0,1,,1
RA-295,2023,4,7.641016667,8.8,8.8,2.52,7.7,9.0625,9.005,5.0,-1,,0
RA-269,2023,4,8.116041667,9.6,9.0,2.52,7.4,8.59375,8.7975,10.0,0,,0
RA-313,2023,4,7.011091667,9.2,8.7,2.52,3.9,7.65625,7.75,10.0,0,,0
RA-1190,2023,4,6.330041667,0.0,9.2,5.0,4.2,7.34375,7.045,10.0,0,,0
RA-301,2023,4,6.760341667,9.2,5.4,7.52,5.2,6.71875,6.465,10.0,0,,0
RA-286,2023,4,5.713333333,0.0,7.5,5.0,4.7,8.125,7.3375,5.0,-1,,1
RA-1191,2023,4,6.175333333,7.5,7.2,5.0,3.7,5.0,6.26,10.0,0,,0
RA-1192,2023,4,6.780741667,7.9,8.7,2.52,5.8,7.96875,7.6675,5.0,-1,,0
RA-174,2023,4,6.1242,7.9,5.6,5.0,5.1,7.5,7.2125,5.0,-2,,0
RA-1193,2023,4,6.018083333,0.0,7.8,5.0,4.1,7.1875,7.13,10.0,0,,0
RA-308,2023,4,6.578558333,5.4,6.8,5.0,4.9,7.03125,7.5025,10.0,0,,0
RA-152,2023,4,6.30695,7.9,7.7,2.52,4.5,7.8125,7.71,5.0,-2,,0
RA-270,2023,4,7.982633333,9.2,9.0,2.52,6.6,8.75,9.1275,10.0,0,,0
RA-271,2023,4,6.140333333,0.0,9.3,2.52,5.9,8.125,7.7125,5.0,-2,,0
RA-299,2023,4,6.796541667,0.0,9.6,2.52,6.1,7.96875,8.005,10.0,0,,0
RA-316,2023,4,8.436908333,10.0,9.5,7.52,5.7,8.59375,8.96,10.0,0,,0
RA-318,2023,4,6.856575,7.9,8.1,6.26,4.9,7.96875,7.71,5.0,-1,,0
RA-274,2023,4,8.137625,7.5,9.5,5.63,7.5,7.65625,8.295,10.0,1,,1
RA-320,2023,4,8.393508333,9.2,9.9,7.52,5.5,8.59375,8.96,10.0,0,,0
RA-277,2023,4,7.7284,8.3,9.9,7.52,5.5,8.125,8.7525,5.0,-1,,0
RA-278,2023,4,7.1935,0.0,9.8,5.63,5.6,8.75,8.3775,10.0,1,,1
RA-291,2023,4,8.493058333,8.8,8.6,7.52,7.1,8.90625,9.21,10.0,0,,0
RA-306,2023,4,5.732375,0.0,7.9,6.26,4.0,7.34375,7.46,5.0,-1,,1
RA-279,2023,4,9.006266667,8.8,10.0,6.27,8.9,8.75,9.2125,10.0,0,,0
RA-280,2023,4,8.189225,6.7,9.5,7.52,6.5,8.28125,8.7125,10.0,0,,0
RA-276,2023,4,6.690458333,6.3,8.5,2.52,5.5,7.03125,6.585,10.0,0,,0
RA-285,2023,4,5.380358333,8.3,4.6,2.52,4.7,7.65625,7.13,2.5,-3,,1
RA-1194,2023,4,7.671933333,8.8,9.0,5.0,6.1,7.5,7.6675,10.0,1,,1
RA-287,2023,4,3.745541667,0.0,4.8,2.52,3.9,4.21875,5.375,2.5,-4,,1
RA-319,2023,4,8.367208333,9.6,9.2,5.0,7.2,8.59375,8.88,10.0,0,,0
RA-321,2023,4,7.695233333,8.3,9.4,2.52,6.2,8.125,8.42,10.0,1,,1
RA-1195,2023,4,5.677291667,0.0,8.3,2.52,5.4,8.28125,8.0025,2.5,-3,,1
RA-159,2023,4,6.805033333,7.9,8.1,2.52,6.3,8.125,7.8775,5.0,-2,,0
RA-322,2023,4,7.037808333,6.7,8.3,2.52,5.3,7.96875,8.045,10.0,0,,0
